Date,Open,High,Low,Close,Volume
20-Mar-15,135.00,136.33,130.63,131.00,5731415
19-Mar-15,131.16,134.41,130.07,134.25,2143332
18-Mar-15,129.63,130.95,127.51,129.79,1926812
17-Mar-15,127.16,129.46,126.46,129.15,1195647
16-Mar-15,124.86,129.42,124.77,127.73,1974548
13-Mar-15,123.31,125.69,121.06,124.00,1354443
12-Mar-15,123.21,123.66,121.18,123.31,1371595
11-Mar-15,124.52,124.64,121.78,122.64,1570934
10-Mar-15,125.89,126.38,123.90,124.14,1672403
9-Mar-15,126.34,127.42,125.00,126.98,1402960
6-Mar-15,126.84,126.96,124.78,126.34,1581081
5-Mar-15,120.79,127.36,120.28,126.96,2413717
4-Mar-15,123.13,123.40,119.75,120.05,1363212
3-Mar-15,120.06,123.82,119.11,123.52,1533144
2-Mar-15,120.62,120.72,118.44,120.17,1511228
27-Feb-15,119.92,120.52,118.21,119.43,1050126
26-Feb-15,119.05,120.23,116.50,119.97,1303281
25-Feb-15,115.44,121.50,115.43,118.84,1651106
24-Feb-15,117.31,117.31,114.71,116.92,1011019
23-Feb-15,118.28,119.91,116.07,117.12,1262645
20-Feb-15,112.55,118.79,111.78,118.61,2467549
19-Feb-15,113.47,113.99,111.68,111.97,1244059
18-Feb-15,112.34,113.78,111.84,113.57,960912
17-Feb-15,113.61,115.68,112.54,113.40,999112
13-Feb-15,109.99,113.85,108.00,113.66,1689561
12-Feb-15,109.43,109.97,108.06,109.63,1328765
11-Feb-15,108.68,110.22,107.23,108.62,990870
10-Feb-15,108.34,109.78,107.43,108.43,1282335
9-Feb-15,108.29,109.60,107.16,107.88,1183820
6-Feb-15,107.12,112.87,106.80,108.66,1718740
5-Feb-15,109.42,111.86,108.27,111.59,1099180
4-Feb-15,107.50,110.64,103.75,109.27,2302622
3-Feb-15,111.18,111.66,106.62,108.72,2205090
2-Feb-15,110.31,111.36,107.08,111.18,1797560
30-Jan-15,113.17,116.19,110.00,110.14,3027762
29-Jan-15,112.40,115.94,111.28,114.14,4027048
28-Jan-15,124.76,124.99,120.88,121.26,1830552
27-Jan-15,123.91,126.54,123.51,123.67,1103818
26-Jan-15,125.86,126.82,124.44,125.12,1203838
23-Jan-15,126.72,127.02,125.02,125.57,977026
22-Jan-15,125.41,127.69,122.01,127.30,1579283
21-Jan-15,123.71,126.21,123.71,125.08,1196838
20-Jan-15,123.14,125.26,121.03,124.74,1102897
16-Jan-15,117.40,123.08,117.14,122.86,1424710
15-Jan-15,120.78,121.39,117.68,117.78,1052322
14-Jan-15,118.42,121.22,118.42,120.38,1224932
13-Jan-15,120.40,123.85,119.70,120.60,1631808
12-Jan-15,123.01,124.40,117.73,118.31,2783167
9-Jan-15,123.75,125.29,122.00,122.21,1069475
8-Jan-15,122.00,124.00,121.14,123.97,1358285
7-Jan-15,118.82,120.77,117.63,120.66,1219866
6-Jan-15,121.31,122.58,116.80,117.36,2289743
5-Jan-15,122.27,122.78,119.34,121.03,1684426
2-Jan-15,119.97,123.68,118.30,123.07,1442665
31-Dec-14,119.61,121.96,118.50,118.80,946341
30-Dec-14,119.36,120.42,119.01,119.15,861209
29-Dec-14,117.91,120.00,116.84,119.79,935935
26-Dec-14,115.56,118.83,115.51,118.41,573348
24-Dec-14,113.75,117.28,113.31,115.15,519021
23-Dec-14,117.53,119.54,109.34,113.75,4062358
22-Dec-14,118.92,122.16,116.00,116.68,2098087
19-Dec-14,117.25,124.35,116.76,118.90,6131369
18-Dec-14,114.08,118.67,111.66,117.74,2148261
17-Dec-14,110.37,112.95,108.70,111.85,2554198
16-Dec-14,112.64,113.44,110.07,110.86,2113070
15-Dec-14,120.17,120.24,112.59,112.88,2137989
12-Dec-14,118.87,121.09,118.38,118.55,1329784
11-Dec-14,118.12,122.26,117.20,120.78,1299781
10-Dec-14,120.18,121.65,116.73,117.20,1563140
9-Dec-14,118.33,120.80,116.79,120.30,1056734
8-Dec-14,118.23,121.10,117.95,119.38,1486666
5-Dec-14,118.49,118.84,117.05,117.95,1123124
4-Dec-14,119.68,121.19,117.52,118.71,971710
3-Dec-14,120.20,121.88,119.00,120.18,1083698
2-Dec-14,116.45,119.40,116.16,118.95,1168055
1-Dec-14,117.89,119.76,115.37,116.85,1100988
28-Nov-14,115.65,120.91,115.65,117.88,1121848
26-Nov-14,114.68,116.27,113.89,115.39,1061103
25-Nov-14,114.17,114.99,113.63,114.19,1786132
24-Nov-14,111.55,113.96,111.32,113.80,1085941
21-Nov-14,114.43,114.43,110.62,111.40,1300131
20-Nov-14,112.88,113.00,109.34,112.89,2557395
19-Nov-14,111.03,118.17,111.00,112.80,1988519
18-Nov-14,111.17,112.60,109.87,111.04,1815113
17-Nov-14,110.80,112.28,110.26,111.62,930453
14-Nov-14,113.46,114.23,110.05,111.34,1127471
13-Nov-14,116.70,116.75,111.85,112.72,1240701
12-Nov-14,117.21,117.48,114.45,116.68,833768
11-Nov-14,116.94,117.97,116.07,117.49,861704
10-Nov-14,116.16,117.56,114.00,116.94,1131693
7-Nov-14,116.83,117.19,113.79,115.93,1307194
6-Nov-14,112.43,117.60,111.85,117.29,1533635
5-Nov-14,114.67,114.99,110.91,111.59,1099251
4-Nov-14,112.32,115.52,111.91,114.10,1196307
3-Nov-14,112.64,113.35,111.61,112.98,1046824
31-Oct-14,113.75,114.98,111.02,112.64,1664600
30-Oct-14,109.21,111.82,108.61,110.85,1398361
29-Oct-14,113.83,113.92,108.02,109.91,2449051
28-Oct-14,112.37,115.24,111.78,114.07,2170562
27-Oct-14,109.34,111.78,107.86,111.59,1204972
24-Oct-14,108.12,110.25,107.07,109.91,939320
23-Oct-14,107.03,109.55,106.33,108.09,1261219
22-Oct-14,109.36,111.00,106.00,106.17,1539994
21-Oct-14,105.86,110.91,104.51,108.16,1897317
20-Oct-14,102.51,105.00,101.84,104.77,1178616
17-Oct-14,101.13,102.95,99.26,102.35,1825852
16-Oct-14,99.25,103.19,97.77,101.26,1822737
15-Oct-14,102.00,103.75,96.43,101.10,2353867
14-Oct-14,107.02,107.79,103.30,104.26,1802387
13-Oct-14,106.74,109.94,105.63,105.91,2409571
10-Oct-14,105.26,108.41,104.11,104.73,2015910
9-Oct-14,105.79,109.15,103.78,105.27,1578339
8-Oct-14,103.48,107.67,102.53,107.02,1470936
7-Oct-14,104.70,106.04,102.72,102.83,1237065
6-Oct-14,109.37,110.55,104.40,105.76,1462565
3-Oct-14,105.37,109.08,103.79,108.59,1954194
2-Oct-14,107.14,107.37,101.52,104.80,2361692
1-Oct-14,112.88,112.89,105.27,107.25,2747701
30-Sep-14,113.37,114.43,110.58,112.31,2444208
29-Sep-14,112.99,116.88,110.91,113.90,2067143
26-Sep-14,112.36,114.24,110.92,113.60,2235861
25-Sep-14,111.43,112.71,109.97,110.28,2646600
24-Sep-14,104.84,112.10,104.10,111.98,3784410
23-Sep-14,104.28,105.72,102.78,104.84,2410212
22-Sep-14,103.79,105.37,102.71,104.71,2697234
19-Sep-14,98.12,105.53,97.54,103.75,6299332
18-Sep-14,95.00,97.42,94.32,97.35,1413902
17-Sep-14,94.30,94.92,92.04,94.50,1275171
16-Sep-14,92.22,94.30,91.04,93.86,1550386
15-Sep-14,92.81,92.81,91.27,92.13,1151152
12-Sep-14,93.97,93.98,92.05,92.99,1215564
11-Sep-14,94.30,96.20,92.27,94.25,1339441
10-Sep-14,93.17,94.98,92.80,94.74,1705206
9-Sep-14,94.17,94.48,92.48,93.12,967455
8-Sep-14,95.07,96.40,94.02,94.49,1353144
5-Sep-14,94.68,96.31,93.55,95.04,2065566
4-Sep-14,92.99,93.41,90.99,91.55,864859
3-Sep-14,93.20,93.99,92.26,92.82,660130
2-Sep-14,94.29,94.30,91.69,92.96,1289795
29-Aug-14,93.08,94.00,92.40,93.57,723167
28-Aug-14,92.55,94.08,92.34,92.80,558165
27-Aug-14,94.03,94.30,92.71,93.03,837012
26-Aug-14,90.89,94.50,90.89,93.64,1899755
25-Aug-14,91.13,92.55,90.51,91.76,971946
22-Aug-14,89.50,90.63,88.67,90.22,862435
21-Aug-14,91.32,91.88,88.38,88.99,1007361
20-Aug-14,91.46,92.73,90.57,91.30,1071383
19-Aug-14,90.85,92.25,90.68,91.92,894155
18-Aug-14,91.11,92.40,90.61,91.30,1147810
15-Aug-14,90.87,91.85,89.55,90.88,1053292
14-Aug-14,88.46,90.43,88.11,90.37,1156441
13-Aug-14,84.41,89.13,84.41,88.75,1386831
12-Aug-14,86.02,86.59,84.94,85.41,710180
11-Aug-14,85.97,86.71,84.47,86.20,959534
8-Aug-14,85.20,86.99,85.18,86.42,986401
7-Aug-14,86.94,87.45,84.60,84.74,1388780
6-Aug-14,86.31,87.55,85.71,86.81,1195367
5-Aug-14,86.18,88.06,85.70,87.00,1498044
4-Aug-14,88.37,89.99,86.10,86.69,1964612
1-Aug-14,89.60,90.37,86.56,87.53,2479512
31-Jul-14,90.64,91.85,88.11,88.91,2470099
30-Jul-14,93.49,95.24,91.31,92.01,2295525
29-Jul-14,95.40,96.63,95.25,95.56,1450069
28-Jul-14,95.48,96.29,95.24,95.56,1178298
25-Jul-14,96.01,96.81,94.67,95.75,1259017
24-Jul-14,97.87,98.45,95.68,95.77,1962264
23-Jul-14,97.74,98.61,97.44,98.14,1458144
22-Jul-14,96.60,98.08,95.75,97.74,1499340
21-Jul-14,96.70,97.20,95.35,96.31,1152827
18-Jul-14,95.06,97.78,94.40,97.20,1964400
17-Jul-14,95.83,96.68,94.31,94.49,1634985
16-Jul-14,96.70,97.22,94.42,96.83,1618852
15-Jul-14,98.26,98.49,95.25,96.53,1558375
14-Jul-14,99.16,99.28,97.03,98.38,1246847
11-Jul-14,98.08,99.74,97.14,99.07,1755615
10-Jul-14,96.15,98.49,95.05,97.82,1330241
9-Jul-14,95.54,98.65,94.89,98.10,1906299
8-Jul-14,96.88,97.31,94.75,95.04,2747848
7-Jul-14,97.71,99.58,96.08,96.84,2146603
3-Jul-14,97.80,99.00,97.34,98.80,1300894
2-Jul-14,95.35,98.73,95.33,98.03,3182054
1-Jul-14,93.87,96.29,93.74,95.85,2154485
30-Jun-14,93.77,94.89,93.05,94.68,2487332
27-Jun-14,93.09,94.00,91.92,93.77,2179748
26-Jun-14,89.00,93.30,88.27,93.17,5511777
25-Jun-14,92.26,93.35,89.27,89.86,7001292
24-Jun-14,98.02,98.80,89.93,93.53,25236837
23-Jun-14,65.06,67.60,64.72,66.61,2166127
20-Jun-14,64.96,65.05,63.97,64.96,2686292
19-Jun-14,65.40,65.49,63.68,64.63,2181922
18-Jun-14,66.23,66.30,64.19,65.08,2213216
17-Jun-14,66.97,67.74,65.66,65.89,1576603
16-Jun-14,69.16,71.02,67.02,67.12,3436204
13-Jun-14,73.88,73.91,72.55,73.49,810456
12-Jun-14,73.78,74.93,73.03,73.50,1028955
11-Jun-14,73.38,74.70,73.22,74.08,1033069
10-Jun-14,74.30,75.23,72.79,74.04,1307512
9-Jun-14,73.64,75.43,73.30,74.61,1114369
6-Jun-14,73.65,73.65,72.47,73.49,1185247
5-Jun-14,72.63,73.45,71.60,73.06,1405473
4-Jun-14,72.60,73.60,72.24,72.64,1581854
3-Jun-14,71.70,72.98,71.00,72.96,975462
2-Jun-14,72.16,72.98,71.54,72.63,1172964
30-May-14,72.96,72.96,71.33,72.26,1173480
29-May-14,72.31,72.96,71.42,72.81,1320969
28-May-14,73.43,73.48,71.65,71.72,1460400
27-May-14,72.07,73.38,71.33,73.36,1593620
23-May-14,71.51,71.85,70.01,71.04,1118826
22-May-14,68.24,71.48,67.50,71.18,2010722
21-May-14,65.51,67.19,65.47,67.15,1076080
20-May-14,67.28,67.43,65.06,65.49,1071378
19-May-14,65.00,67.48,64.28,67.22,1317208
16-May-14,65.59,66.11,63.60,65.03,2018828
15-May-14,66.69,67.48,65.02,65.46,1538525
14-May-14,66.85,68.28,65.32,67.69,1036551
13-May-14,67.62,67.93,66.32,66.71,827209
12-May-14,65.81,67.76,65.13,67.74,1462857
9-May-14,63.90,65.10,62.40,65.05,1245924
8-May-14,65.13,66.14,63.46,63.80,1309632
7-May-14,66.49,67.07,64.23,65.17,1380855
6-May-14,68.40,68.75,66.47,66.56,1373586
5-May-14,65.41,68.50,64.81,68.41,1467929
2-May-14,69.37,71.68,66.30,66.37,2812998
1-May-14,67.54,69.71,66.53,68.95,1837050
30-Apr-14,67.27,67.99,65.94,67.70,1466185
29-Apr-14,64.97,67.68,64.20,67.57,1282201
28-Apr-14,64.64,66.10,62.42,64.51,1333472
25-Apr-14,65.55,66.32,64.02,64.19,1120434
24-Apr-14,66.96,67.49,64.05,66.18,1204660
23-Apr-14,69.49,69.49,66.17,66.92,1451854
22-Apr-14,65.69,69.05,65.67,68.30,1862312
21-Apr-14,64.52,65.56,63.04,65.47,1103834
17-Apr-14,64.18,65.68,63.42,64.17,1387435
16-Apr-14,63.81,64.82,62.83,64.39,1459473
15-Apr-14,62.83,63.97,59.79,63.25,1886008
14-Apr-14,64.05,65.14,61.19,62.44,1695751
11-Apr-14,64.97,67.64,63.00,63.06,2140072
10-Apr-14,69.32,69.81,65.31,65.69,2545734
9-Apr-14,65.59,70.06,65.32,69.95,2107145
8-Apr-14,65.84,67.00,64.60,65.35,1677401
7-Apr-14,66.00,67.24,64.05,66.40,1646356
4-Apr-14,70.06,70.15,65.44,65.84,2207131
3-Apr-14,71.96,72.74,67.93,69.12,1730196
2-Apr-14,72.00,73.10,71.65,72.30,1316698
1-Apr-14,71.32,73.12,70.76,71.87,2319515
31-Mar-14,68.17,71.35,68.01,70.72,1860645
28-Mar-14,71.07,72.67,67.49,67.80,1425572
27-Mar-14,70.30,71.65,68.24,70.78,1786222
26-Mar-14,72.56,72.77,69.86,70.44,1659180
25-Mar-14,72.75,73.92,70.31,71.90,1409754
24-Mar-14,74.30,74.60,70.58,72.44,1990000
21-Mar-14,77.50,77.75,72.82,73.83,3526016
20-Mar-14,77.72,78.57,76.60,77.77,957287
19-Mar-14,78.73,79.20,77.16,77.80,1361777
18-Mar-14,78.00,79.95,77.69,79.00,959585
17-Mar-14,77.50,79.51,77.02,77.70,1302145
14-Mar-14,77.57,79.76,76.90,78.32,1179284
13-Mar-14,79.92,80.00,77.11,77.86,1130437
12-Mar-14,78.64,80.15,78.05,79.87,946268
11-Mar-14,79.99,80.56,78.48,79.19,1200974
10-Mar-14,79.60,79.92,77.92,79.65,1316306
7-Mar-14,80.51,81.60,76.31,79.94,1706703
6-Mar-14,83.51,83.59,79.33,79.94,1522554
5-Mar-14,83.27,83.42,82.08,82.96,914210
4-Mar-14,82.54,83.82,81.65,83.12,1205952
3-Mar-14,80.25,83.25,79.57,81.56,1134660
28-Feb-14,83.48,84.25,79.33,80.86,1790443
27-Feb-14,84.24,84.57,82.39,83.16,1374793
26-Feb-14,84.63,85.22,83.45,83.95,1129374
25-Feb-14,84.21,85.98,83.57,84.62,1296021
24-Feb-14,85.29,85.29,83.76,83.95,1287642
21-Feb-14,84.44,86.12,83.48,84.81,1911497
20-Feb-14,83.07,84.46,81.86,84.01,1234439
19-Feb-14,81.96,84.41,81.61,82.60,1242590
18-Feb-14,82.03,83.30,81.92,82.00,2043449
14-Feb-14,84.38,84.98,81.05,81.61,1774106
13-Feb-14,83.39,85.65,82.03,85.00,1492749
12-Feb-14,84.54,85.89,83.49,83.90,1265750
11-Feb-14,82.28,85.00,81.56,84.98,1439008
10-Feb-14,81.10,82.30,80.95,82.17,1590434
7-Feb-14,78.69,81.46,78.23,81.41,1466920
6-Feb-14,76.45,79.24,76.24,78.17,1685274
5-Feb-14,78.12,78.73,75.89,77.41,1843576
4-Feb-14,76.95,79.70,76.78,79.15,2141151
3-Feb-14,78.50,79.84,77.16,77.63,2404491
31-Jan-14,80.70,81.00,78.96,79.04,1572652
30-Jan-14,80.82,84.38,80.05,82.15,2458832
29-Jan-14,78.56,81.75,77.85,78.82,1973687
28-Jan-14,79.69,81.23,78.99,79.30,1340726
27-Jan-14,79.75,80.97,77.01,79.37,2657122
24-Jan-14,83.12,83.12,79.75,79.77,1868018
23-Jan-14,83.35,84.20,82.48,83.83,1251187
22-Jan-14,85.68,87.77,83.45,84.12,2397862
21-Jan-14,82.86,85.84,81.75,85.48,2638049
17-Jan-14,80.98,82.81,80.64,82.09,1978362
16-Jan-14,79.17,81.03,78.77,81.00,1503203
15-Jan-14,79.10,79.22,78.20,78.77,1221610
14-Jan-14,77.36,79.47,77.36,79.38,1841023
13-Jan-14,77.84,78.72,76.16,77.04,2867367
10-Jan-14,76.07,78.22,75.71,78.21,1204282
9-Jan-14,75.44,77.00,74.96,76.32,1660257
8-Jan-14,74.55,75.38,74.10,75.23,882596
7-Jan-14,75.75,75.82,73.97,74.49,1025019
6-Jan-14,74.92,75.94,74.11,75.50,1701749
3-Jan-14,74.01,74.63,73.17,73.45,799560
2-Jan-14,74.07,74.15,72.88,73.83,966843
31-Dec-13,74.07,74.70,73.71,74.30,782391
30-Dec-13,73.60,74.34,72.84,73.89,624697
27-Dec-13,74.01,74.08,72.99,73.45,633482
26-Dec-13,73.63,74.05,72.76,73.81,698722
24-Dec-13,73.50,73.87,72.84,73.49,449529
23-Dec-13,72.40,73.89,72.00,73.48,1498310
20-Dec-13,70.53,71.93,69.93,71.83,3661909
19-Dec-13,67.00,71.00,67.00,69.95,3968896
18-Dec-13,66.11,69.61,66.00,68.63,3004686
17-Dec-13,64.59,65.81,63.65,65.58,1345628
16-Dec-13,65.68,66.64,63.91,64.76,1212926
13-Dec-13,65.11,65.91,64.12,65.18,1146541
12-Dec-13,64.38,66.50,64.12,65.36,1262402
11-Dec-13,66.12,66.23,64.18,64.39,1200633
10-Dec-13,66.73,67.12,65.41,66.23,1091327
9-Dec-13,66.40,66.87,65.98,66.75,1451480
6-Dec-13,67.13,67.28,65.77,66.45,1239989
5-Dec-13,67.14,67.43,65.98,66.45,1561647
4-Dec-13,67.51,68.10,66.80,67.33,1556775
3-Dec-13,68.81,69.04,67.32,67.66,1646672
2-Dec-13,69.60,70.18,68.93,69.25,1256716
29-Nov-13,68.80,70.69,68.80,69.42,957928
27-Nov-13,68.37,68.79,67.58,68.32,1130196
26-Nov-13,68.12,68.57,67.10,68.37,2132717
25-Nov-13,67.44,69.00,66.75,67.96,1566381
22-Nov-13,66.63,67.73,65.98,66.28,1684749
21-Nov-13,65.24,66.49,65.14,66.23,1592586
20-Nov-13,62.53,67.69,62.39,65.14,3471648
19-Nov-13,61.59,62.75,61.25,62.38,1827156
18-Nov-13,63.21,63.98,61.24,61.69,2132414
15-Nov-13,60.87,63.42,60.87,63.39,3083569
14-Nov-13,61.60,61.70,60.60,61.03,974385
13-Nov-13,59.83,62.13,59.14,61.20,2560149
12-Nov-13,60.01,60.56,58.06,60.18,3606447
11-Nov-13,61.30,61.65,60.10,60.55,2084284
8-Nov-13,60.86,62.25,60.42,61.06,2187847
7-Nov-13,63.70,63.84,60.97,61.02,1916171
6-Nov-13,65.09,65.40,61.96,62.60,4712138
5-Nov-13,66.11,66.83,64.95,65.38,1904269
4-Nov-13,67.31,67.85,65.85,66.21,2780851
1-Nov-13,70.16,70.32,66.81,67.36,3938941
31-Oct-13,71.75,72.38,70.25,71.35,2463555
30-Oct-13,74.97,75.37,70.76,71.75,2685181
29-Oct-13,76.08,76.88,72.57,76.09,3696363
28-Oct-13,76.67,78.01,76.21,77.83,1449958
25-Oct-13,77.70,78.38,76.00,76.83,1619468
24-Oct-13,75.75,77.74,75.61,76.91,1252516
23-Oct-13,77.10,77.98,75.26,75.61,1737375
22-Oct-13,75.13,77.98,74.94,77.62,1525267
21-Oct-13,77.30,77.52,74.51,74.64,1873697
18-Oct-13,77.08,78.00,74.96,77.06,2234508
17-Oct-13,75.13,77.48,74.40,76.86,1420767
16-Oct-13,74.13,75.92,73.43,75.46,1766491
15-Oct-13,72.49,74.15,72.42,73.35,1994881
14-Oct-13,69.74,74.02,69.64,73.71,1722696
11-Oct-13,70.49,71.00,68.89,70.92,1684794
10-Oct-13,70.12,71.61,69.45,70.99,1537738
9-Oct-13,72.40,72.59,68.71,70.15,2638886
8-Oct-13,75.41,75.85,71.50,72.22,2216861
7-Oct-13,76.05,76.32,75.07,75.48,936145
4-Oct-13,77.51,77.84,76.60,77.21,1316898
3-Oct-13,76.75,77.65,75.92,77.16,2017210
2-Oct-13,76.26,76.83,75.49,76.74,1049291
1-Oct-13,76.02,77.12,74.99,77.02,1292976
30-Sep-13,75.32,77.20,74.97,75.82,1278089
27-Sep-13,75.68,77.51,75.16,76.10,1028639
26-Sep-13,74.67,76.59,74.34,76.53,1564442
25-Sep-13,74.55,75.71,74.44,74.67,3186898
24-Sep-13,75.14,75.70,73.43,74.53,2845156
23-Sep-13,76.55,76.74,74.94,75.59,3251198
20-Sep-13,77.01,77.75,75.37,76.15,42258300
19-Sep-13,77.23,77.37,76.00,76.29,2408700
18-Sep-13,78.18,78.53,76.69,77.11,1685843
17-Sep-13,76.14,78.21,76.09,78.03,1532947
16-Sep-13,79.06,79.49,75.91,76.18,1851142
13-Sep-13,81.29,81.30,77.07,78.25,2737381
12-Sep-13,81.76,82.14,80.26,81.40,2285642
11-Sep-13,81.37,81.50,79.26,79.81,957069
10-Sep-13,82.45,82.74,79.50,81.32,1295700
9-Sep-13,79.13,82.16,78.25,81.93,1317461
6-Sep-13,79.06,79.20,75.73,78.99,1500389
5-Sep-13,78.13,79.91,78.12,78.38,945926
4-Sep-13,75.43,78.55,74.91,78.30,1279263
3-Sep-13,76.20,77.57,74.02,75.38,2346390
30-Aug-13,77.12,77.86,74.83,75.15,2104957
29-Aug-13,75.79,78.15,75.54,77.25,704609
28-Aug-13,75.14,77.01,74.90,75.94,1084709
27-Aug-13,77.03,77.38,74.67,75.00,1055320
26-Aug-13,77.69,78.73,77.42,77.95,724655
23-Aug-13,78.40,79.00,77.29,77.78,836994
22-Aug-13,76.84,78.60,76.79,78.40,779828
21-Aug-13,76.51,78.14,75.80,76.35,1010682
20-Aug-13,75.34,77.20,75.01,76.55,959952
19-Aug-13,76.45,76.83,75.22,75.28,977486
16-Aug-13,76.86,77.36,76.25,76.51,3036202
15-Aug-13,77.39,78.26,76.60,76.96,1439961
14-Aug-13,77.11,78.97,76.40,78.25,1285978
13-Aug-13,77.69,78.07,76.04,77.53,1679030
12-Aug-13,76.84,77.84,76.06,77.48,1062375
9-Aug-13,77.29,78.11,76.78,77.15,798599
8-Aug-13,78.42,78.42,77.22,77.67,707503
7-Aug-13,77.31,78.52,76.80,78.05,974401
6-Aug-13,78.66,78.98,76.86,77.33,930661
5-Aug-13,79.49,79.81,78.03,78.99,1036536
2-Aug-13,80.68,81.21,78.52,79.44,1323797
1-Aug-13,80.59,81.98,80.26,80.72,2086281
31-Jul-13,82.37,83.24,79.65,79.80,2060883
30-Jul-13,81.49,85.72,81.00,81.91,3693138
29-Jul-13,79.99,81.34,79.13,79.66,1589314
26-Jul-13,80.22,82.20,79.60,80.71,4072564
25-Jul-13,84.77,87.89,84.00,87.62,1282786
24-Jul-13,86.95,87.48,84.50,85.26,1293598
23-Jul-13,87.95,88.81,86.28,86.55,1219049
22-Jul-13,89.01,89.36,87.00,88.24,1805064
19-Jul-13,86.99,89.96,86.70,88.51,2228896
18-Jul-13,85.99,86.93,85.10,86.79,715590
17-Jul-13,85.20,86.80,85.20,85.51,804317
16-Jul-13,86.42,87.00,84.98,85.49,1124304
15-Jul-13,87.09,87.63,85.66,86.75,1078969
